SN,Station,StreamType,Customer,Desc_,Status,Lat,Long,LAT,LNG
174273.0,yes,Trash,Philadelphia City of,Ne Levick/Frankford ave,In Service,40.0285,-75.0576,40.028500000000065,-75.05759999999998
174274.0,yes,Trash,Philadelphia City of,2646 Kensington Ave,In Service,39.9896,-75.1266,39.98960000000005,-75.12659999999994
174275.0,yes,Trash,Philadelphia City of,Ne Passmore/mid block/Frankford ave,In Service,40.0291,-75.0564,40.02910000000003,-75.05639999999994
174276.0,yes,Trash,Philadelphia City of,Nw 34th/Market,In Service,39.9558,-75.1911,39.95580000000007,-75.19109999999995
174277.0,yes,Trash,Philadelphia City of,Ne Ridge/Leverington,In Service,40.0355766116,-75.2173126528,40.03557661200006,-75.21731265299996
174278.0,yes,Trash,Philadelphia City of,Se Ridge/Domino Ln.,In Service,40.0448,-75.2322,40.044800000000066,-75.23219999999998
174279.0,yes,Trash,Philadelphia City of,Sw Ridge/Hermitage,In Service,40.0367,-75.2188,40.03670000000005,-75.21879999999999
174280.0,yes,Trash,Philadelphia City of,Ne Wellington/Frankford ave,In Service,40.0359301773,-75.0423770258,40.03593017700007,-75.04237702599994
174282.0,no,Trash,Philadelphia City of,Ne 5th/Lehigh,In Service,39.9920931438,-75.1400909008,39.99209314400008,-75.14009090099995
174283.0,no,Trash,Philadelphia City of,Se Longshore/Frankford,In Service,40.0327,-75.0482,40.032700000000034,-75.04819999999995
174284.0,no,Trash,Philadelphia City of,Sw 30th/Market,In Service,39.9548054217,-75.1837605251,39.95480542200005,-75.18376052499997
174285.0,no,Trash,Philadelphia City of,Sw Ridge/Parker,In Service,40.0426,-75.2264,40.04260000000005,-75.22639999999996
174286.0,no,Trash,Philadelphia City of,Sw Ridge/Leverington,In Service,40.0356424987,-75.2174873472,40.03564249900006,-75.21748734699997
174287.0,no,Trash,Philadelphia City of,Ne Jasper/Kensington,In Service,39.9849,-75.1322,39.98490000000004,-75.13219999999995
174288.0,no,Trash,Philadelphia City of,Se Sheffield/Frankford ave,In Service,40.0394149964,-75.0334892712,40.03941499600006,-75.03348927099995
174289.0,no,Trash,Philadelphia City of,"30th & Market, SW",In Service,39.9548308516,-75.1832779411,39.95483085200004,-75.18327794099997
174290.0,no,Trash,Philadelphia City of,Se 7th/Chestnut,In Service,39.9493738168,-75.1522854233,39.94937381700004,-75.15228542299997
174291.0,no,Trash,Philadelphia City of,Ne 60th/Market,In Service,39.9620850251,-75.2405839067,39.96208502500008,-75.24058390699997
174292.0,no,Trash,Philadelphia City of,Nw Haggart/Kensington,In Service,39.9871,-75.1305,39.987100000000055,-75.13049999999998
174293.0,no,Trash,Philadelphia City of,Se Unruh/Frankford ave,In Service,40.0315,-75.0535,40.03150000000005,-75.05349999999999
174294.0,no,Trash,Philadelphia City of,Nw 60th/Chestnut,In Service,39.9606138114,-75.241228746,39.96061381100003,-75.24122874599993
174296.0,no,Trash,Philadelphia City of,2518 Kensington Ave.,In Service,39.9881,-75.1287,39.98810000000003,-75.12869999999998
174297.0,no,Trash,Philadelphia City of,Nw 31st/Market,In Service,39.955,-75.1853,39.95500000000004,-75.18529999999998
174298.0,no,Trash,Philadelphia City of,Ne Ridge/Hermitage,In Service,40.0366,-75.2186,40.03660000000008,-75.21859999999998
174300.0,no,Trash,Philadelphia City of,Nw Hartwell/Germantown ave,In Service,40.0731,-75.2027,40.07310000000007,-75.20269999999994
174301.0,no,Trash,Philadelphia City of,Nw Princeton/Frankford ave,In Service,40.0348,-75.0447,40.034800000000075,-75.04469999999998
174302.0,no,Trash,Philadelphia City of,Ne Ridge/Green Ln.,In Service,40.0341628694,-75.2159022633,40.034162869000056,-75.21590226299998
174303.0,no,Trash,Philadelphia City of,Nw Penn/Germantown ave,In Service,40.0342815171,-75.1725830608,40.03428151700007,-75.17258306099995
174304.0,no,Trash,Philadelphia City of,Se Armat/Germantown ave,In Service,40.0349712491,-75.1736214577,40.03497124900008,-75.17362145799996
174305.0,no,Trash,Philadelphia City of,Nw Susquehanna/Kensington,In Service,39.9833,-75.1327,39.98330000000004,-75.13269999999994
174306.0,no,Trash,Philadelphia City of,Se Ridge/Cinnaminson,In Service,40.0401,-75.2244,40.04010000000005,-75.22439999999995
174307.0,no,Trash,Philadelphia City of,Se Boston/Kensington,In Service,39.9861,-75.1314,39.98610000000008,-75.13139999999999
174308.0,no,Trash,Philadelphia City of,Ne Cumberland/Kensington,In Service,39.9876,-75.1294,39.98760000000004,-75.12939999999998
174309.0,no,Trash,Philadelphia City of,Se Magee/Frankford ave,In Service,40.0304,-75.0549,40.03040000000004,-75.05489999999998
174423.0,no,Trash,Philadelphia City of,Sw Ridge/Monastery,In Service,40.0314548176,-75.213364373,40.03145481800004,-75.21336437299993
174425.0,no,Trash,Philadelphia City of,Sw Ridge/Roxborough,In Service,40.0266,-75.2098,40.02660000000003,-75.20979999999997
174426.0,no,Trash,Philadelphia City of,Ne 5th/Cumberland,In Service,39.9890657607,-75.140735627,39.98906576100006,-75.14073562699997
174428.0,yes,Trash,Philadelphia City of,Cottman/Frankford ave/On Triangle,In Service,40.0369835714,-75.0407796515,40.036983571000064,-75.04077965099998
174429.0,yes,Trash,Philadelphia City of,Ne 52nd/Larchwood,In Service,39.9524,-75.2264,39.95240000000007,-75.22639999999996
